Powiaty;Y;X1;X2;X3;X4
Powiat szamotulski;856;197637;20;5000,11;627
Powiat òredzki;528;194434;16;4718,06;433
Powiat òremski;355;192109;16;4154,88;414
Powiat turecki;315;152958;10;3862,59;120
Powiat w•growiecki;389;163763;17;4177,82;423
Powiat wolszty‰ski;356;200671;14;4122,57;217
Powiat wrzesi‰ski;649;200067;13;4534,94;652
Powiat zàotowski;358;159844;14;3823,24;335
Powiat m.Kalisz;743;179721;43;4430,37;511
Powiat m.Konin;624;166013;38;4512,5;261
Powiat m.Leszno;573;233970;25;4271,73;436
Powiat m.Pozna‰;6181;335521;184;5713,03;5043
Powiat biaàogardzki;291;118829;20;4287,47;146
Powiat choszcze‰ski;260;127483;20;4160,89;45
Powiat drawski;281;127848;20;3982,85;69
Powiat goleniowski;639;217296;14;4775,51;417
Powiat gryficki;328;151459;24;4052,14;99
Powiat gryfi‰ski;416;183250;13;4465,67;141
Powiat kamie‰ski;398;317994;15;4034,8;657
Powiat koàobrzeski;757;310848;27;4331,04;1069
Powiat koszali‰ski;1226;226328;7;4204,61;528
Powiat myòliborski;369;147168;14;4206,22;189
Powiat policki;1972;356041;11;5169,21;626
Powiat pyrzycki;307;153251;8;4134,08;117
Powiat sàawie‰ski;328;218245;12;4010,2;173
Powiat stargardzki;1049;187778;32;4460,3;405
Powiat szczecinecki;542;146321;20;4452,12;230
Powiat òwidwi‰ski;288;121101;13;3984,99;35
Powiat waàecki;314;163139;13;4363,14;161
Powiat àobeski;230;100272;8;4321,83;23
Powiat m.Koszalin;1313;220665;47;4625,35;381
Powiat m.Szczecin;4242;287061;105;5408,91;3215
Powiat m.ówinoujòcie;489;406238;14;5222,62;224
